licence_numbers,business_name,name_of_license,premise_address
CE13Z38L000,AP,AP HOUSE PTE. LTD.,"12 MARINA VIEW #01-06/08, ASIA SQUARE TOWER 2 S(018961) (3 Units: 6, 7 & 8)"
CE13Z98K000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"808 FRENCH ROAD #01-01, KITCHENER COMPLEX S(200808)"
CE14938E000,SONG FISH- SEAFOOD MARKET PLACE,SONG FISH DEALER PTE LTD,"133 NEW BRIDGE ROAD #B1-26, CHINATOWN POINT S(059413)"
CE14G71E000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"16 ENGGOR STREET, ALTEZ S(079717) (UNITS: #01-05/06/07/08)"
CE14G73B000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"12 KALLANG AVENUE #01-47, APERIA S(339511)"
CE14L50J000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"33 SENGKANG WEST AVENUE #B2-24, THE SELETAR MALL S(797653)"
CE14Q85A000,B&S MINIMART,B & S MINI MART PTE. LTD.,"310 GEYLANG ROAD, S(389349)"
CE15023A000,GW MINIMART,GW TRADER PTE. LTD.,"8 SELETAR NORTH LINK #G1-03, PPT LODGE 1A S(797455)"
CE15042P000,PHAN99 SUPERMART,PHAN99 INVESTMENTS PTE. LTD.,"2 SELETAR NORTH LINK #01-38, PPT LODGE 1B S(797601)"
CE15577J000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"442 ORCHARD ROAD #B1-01/11, ORCHARD HOTEL S(238879)"
CE15695V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"279 SENGKANG EAST AVENUE #01-06, MULTI STOREY CAR PARK S(540279)"
CE15B61K000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"330 ANCHORVALE STREET #01-01, S(540330)"
CE15F60K000,HUBER'S,HUBER'S PTE. LTD.,"22 DEMPSEY ROAD, 1st & 2nd storey S(249679) 1st & 2nd storey"
CE15G35E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"20 LENGKOK BAHRU #01-13, S(159053)"
