licence_numbers,business_name,name_of_license,premise_address
SE13S89V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"2 FIRST STREET #01-05-16, SIGLAP V S(458278)"
SE13U91V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"30 EAST COAST ROAD #01-06-09, VILLAGE HOTEL KATONG S(428751)"
SE14377P000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"430 UPPER CHANGI ROAD #01-47, EAST VILLAGE S(487048)"
SE14441L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"6 POTONG PASIR AVENUE 2 #01-03, POTONG PASIR COMMUNITY CLUB S(358361)"
SE14467N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 STADIUM PLACE #01-29, KALLANG WAVE MALL S(397628)"
SE14775X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"3 SIMEI STREET 6 #05-01, EASTPOINT MALL S(528833)"
SE14875L000,HAO MART,HAO MART PTE. LTD.,"11 TANJONG KATONG ROAD #B1-36, KINEX S(437157)"
SE14965K000,Meat Collective,MEAT COLLECTIVE SINGAPORE PRIVATE LIMITED,"342 TANJONG KATONG ROAD, S(437112)"
SE14A83A000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"60 PAYA LEBAR ROAD #B1-01-05, PAYA LEBAR SQUARE S(409051)"
SE14C27C000,Zac Butchery,COMMONWEALTH CONCEPTS PTE. LTD.,"1B FIGARO STREET, OPERA ESTATE S(458322)"
SE15043B000,FOODIE MARKET PLACE,FOODIE MARKET PLACE PTE. LTD.,"313 TANJONG KATONG ROAD, S(437096)"
SE15464L000,ABEDIN MINIMART,ABEDIN TRADING PTE. LTD.,"599 GEYLANG ROAD #01-01, S(389538)"
SE16233J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"18B CIRCUIT ROAD #01-260, MACPHERSON RESIDENCY S(372018)"
SE17082P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"18 TAI SENG STREET #B1-13, S(539775)"
SE17345J000,JSJ MINIMART,JSJ CORPORATION PTE. LTD.,"31A TANAH MERAH COAST ROAD #01-01, S(498720)"
SE17401C000,TIM'S FROZEN,"TANG KER AN, TIMOTHY","18 BEDOK SOUTH ROAD #01-67, S(460018)"
SE17481P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"10 EUNOS ROAD 8 #B1-104,#B1-103,#B1-102,#B1-105,#B1-101, SINGAPORE POST CENTRE S(408600)"
SE17500A000,HAO MART,HAO MART PTE. LTD.,"69 BEDOK SOUTH AVENUE 3 #01-484, S(460069)"
SE18184V000,HAO MART,HAO MART PTE. LTD.,"448/450 GEYLANG ROAD, S(389407)"
SE18544L000,JMD RETAIL,JMD RETAIL PTE. LTD.,"330 TANJONG KATONG ROAD, S(437106)"
SE19104A000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"78 AIRPORT BOULEVARD #B2-206,#B2-205,#B2-207,#B2-208, S(819666)"
SE19557P000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"10 PAYA LEBAR ROAD #B2-11, S(409057)"
SE19562A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"10 PAYA LEBAR ROAD #B2-09, S(409057)"
SNE19006A000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"602A TAMPINES AVENUE 9 #01-01, S(521602)"
SNE19019L000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"322 SUMANG WALK #01-07, MULTI STOREY CAR PARK S(820322)"
SNE20031P000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"829 TAMPINES STREET 81 #01-272,#01-274,#01-276,#01-278, TAMPINES GROVE S(520829)"
SNE20033L000,DANISHA TRADING,DANISHA TRADING PTE. LTD.,"476 UPPER SERANGOON VIEW #02-14, HOUGANG CAPEVIEW S(530476)"
SNE20045C000,The Foodcellar,CLEMENTS FOODCELLAR PTE. LTD.,"39 LOWLAND ROAD, LOWLAND GARDEN S(547441)"
SNE20089B000,Our Boss,OURBOSS PTE. LTD.,"625 ELIAS ROAD #01-330, ELIAS MALL S(510625)"
SNE20114L000,REDMAN BY PHOON HUAT,PHOON HUAT PTE. LTD.,"1 PASIR RIS CLOSE #01-101, E!HUB@DOWNTOWN EAST S(519599)"
SNE20115K000,PandaMart,DELIVERY HERO STORES (SINGAPORE) PTE. LTD.,"756 UPPER SERANGOON ROAD #01-09,#01-10,#01-11,#01-12,#01-13,#01-14, UPPER SERANGOON SHOPPING CENTRE S(534626)"
SNE20117E000,PandaMart,DELIVERY HERO STORES (SINGAPORE) PTE. LTD.,"500 NEW PUNGGOL ROAD #01-03,#01-04,#01-05, THE PUNGGOL SETTLEMENT S(828617)"
SNE21004N000,JO MARKET,JO MARKET,"505 TAMPINES CENTRAL 1 #01-333,#01-335, S(520505)"
SNE21016E000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"1 PASIR RIS CLOSE #01-339,#01-347, E!HUB@DOWNTOWN EAST S(519599)"
SNE21038P000,Ace Dynamic,ACE DYNAMIC HOLDINGS PTE. LTD.,"151 LORONG CHUAN #01-22, NEW TECH PARK S(556741)"
SNE21044V000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"610 TAMPINES NORTH DRIVE 1 #01-11, S(520610)"
SNE21047N000,Cut Butchery,CAVENDISH SUPPLIES PTE. LTD.,"1 MAJU AVENUE #B1-06, MYVILLAGE AT SERANGOON GARDEN S(556679)"
SNE21057K000,Toko Warisan Halal Frozen,TOKO WARISAN TRADING,"201D TAMPINES STREET 21 #01-1159, S(524201)"
SNW19005L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"182 WOODLANDS STREET 13 #01-01, MULTI STOREY CAR PARK S(730182)"
SNW19010X000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"365 SEMBAWANG CRESCENT #01-01, S(750365)"
SNW19021L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"202 MARSILING DRIVE #01-138,#01-150, S(730202)"
SNW20023C000,ANY MO SUPERMARKET,ANG MO SUPERMARKET PTE LTD,"361 SEMBAWANG CRESCENT #01-10, MULTI STOREY CAR PARK S(750361)"
SNW20026V000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"6 MANDAI LINK, CMM Marketing Management Pte Ltd S(728652)"
SNW20038L000,ANG MO SUPERMARKET,ANG MO SUPERMARKET PTE LTD,"693 WOODLANDS AVENUE 6 #01-01, MULTI STOREY CAR PARK S(730693)"
SNW20050V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"133 CANBERRA VIEW #B1-03,#B1-04, S(750133)"
SNW20055K000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"1 JELEBU ROAD #01-32, BUKIT PANJANG PLAZA S(677743)"
SNW20062L000,REDMAN BY PHOON HUAT,PHOON HUAT PTE. LTD.,"1 JELEBU ROAD #01-33/34, BUKIT PANJANG PLAZA S(677743)"
SNW20069V000,Meat United,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)"
SNW20076A000,Neue Mart,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)"
SNW20086X000,THYME TO MEAT,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)"
SNW20106A000,CHENNAI TRADING & SUPERMART,CHENNAI TRADING & SUPERMART PTE. LTD.,"100 SEMBAWANG DRIVE #01-15, COCHRANE RECREATION CENTRE S(756998)"
SNW20113B000,NAWAS GLOBAL,NAWAS GLOBAL PTE. LTD.,"18A KRANJI WAY #01-03, KRANJI WAY DORMITORY S(739443)"
SNW21002E000,PHOON HUAT,PHOON HUAT PTE. LTD.,"51 YISHUN CENTRAL 1 #01-03, YISHUN 10 CINEMA COMPLEX S(768794)"
SNW21008P000,Maison Marie,MAISON MARIE PTE. LTD.,"384 UPPER BUKIT TIMAH ROAD, S(678042) (Half Unit 382)"
SNW21020B000,KARAIKUDI MINIMART,SRI IDAIYANKALI PTE. LTD.,"180 WOODLANDS INDUSTRIAL PARK E5 #01-03, WOODLANDS AUTO HUB S(757512)"
SSE19017X000,7mall shop,7MALL.SHOP PTE. LTD.,"447 CHANGI ROAD, S(419875)"
SSE20034L000,BNM TRADING,BNM TRADING PTE. LTD.,"269 JOO CHIAT ROAD, S(427523)"
SSE20037E000,al forno,AL FORNO (EAST COAST) PTE LTD,"693 EAST COAST ROAD, FRANKEL ESTATE S(459058)"
SSE20041N000,Ever+,Sun Rui,"184 EAST COAST ROAD #01-, S(428890)"
SSE20077L000,GrabMart - Southeast,KITCHEN BY GRABFOOD (SINGAPORE) PTE. LTD.,"160 CHANGI ROAD #01-10, HEXACUBE S(419728)"
SSE20087J000,Our Boss,OURBOSS PTE. LTD.,"28 FERNWOOD TERRACE #01-01, S(458556)"
SSE20099A000,Bowl & Bowl,BOWLICIOUS PTE. LTD.,"3 IRVING ROAD #01-19, TAI SENG CENTRE S(369522)"
SSE21003X000,MR FARMER,MR FARMER,"2 JALAN LOKAM #01-47, KENSINGTON SQUARE S(537846)"
SSE21005N000,FAIRPRICE HYPERMART,NTUC FAIRPRICE CO-OPERATIVE LTD,"80 MARINE PARADE ROAD #03-28, PARKWAY PARADE S(449269)"
SSE21015K000,The Alaska Guys,THE ALASKA GUYS PTE. LTD.,"32 SIGLAP DRIVE, FRANKEL ESTATE S(456157) (1st storey)"
SSE21017E000,LITTLE FARMS,LITTLE FARMS PTE. LTD.,"451 JOO CHIAT ROAD #01-01,#01-03, KATONG POINT S(427664)"
SSE21022L000,BLOOPBLOOP MARKET,BLOOPBLOOP MARKET LLP,"26A CHAI CHEE ROAD #01-399, S(461026) PART OF LEFT"
SSE21027B000,JINJI FRESH MART,JINJI FRESH MART PTE. LTD.,"676 GEYLANG ROAD, S(389603) (1ST STOREY)"
SSE21053V000,Baggie's Deli,BAGGIE'S PTE. LTD.,"236 JOO CHIAT ROAD, S(427493) Level 1"
SSE21054X000,Aunty's Supermart Trading,AUNTY'S SUPERMART TRADING PTE. LTD.,"58 MARINE TERRACE #01-67, MARINE TERRACE HAVEN S(440058)"
SSW19008P000,S Power Supermart,S POWER GLOBAL PTE. LTD.,"18 SUNGEI KADUT STREET 2 #01-05, SUNGEI KADUT INDUSTRIAL ESTATE S(729236)"
SSW19009N000,SVS DISTRIBUTION (Level 1),SVS DISTRIBUTION PTE. LTD.,"129 TUAS VIEW SQUARE, WESTLINK TECHPARK S(637741)"
SSW19022V000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"50 JURONG GATEWAY ROAD #2-24,#2-25,#2-26,#3-27, JEM S(608549)"
SSW20065P000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"4 BUKIT BATOK STREET 41 #01-91,#01-92, LE QUEST S(657991)"
SSW20070A000,REDMAN BY PHOON HUAT,PHOON HUAT PTE. LTD.,"3 GATEWAY DRIVE #B1-23, WESTGATE S(608532)"
SSW20071V000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"1 MARITIME SQUARE #03-23/38, HARBOURFRONT CENTRE S(099253)"
SSW20073P000,Frozen Bagus,"TANG KER AN, TIMOTHY","352 CLEMENTI AVENUE 2 #01-137, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120352)"
SSW20085J000,the seafood place by chai,CHAI SEAFOOD,"148F PASIR PANJANG ROAD, S(118553)"
SSW20088B000,123 MART,123 MART PTE. LTD.,"354 CLEMENTI AVENUE 2 #01-233, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120354)"
SSW21007E000,HAO MART,HAO MART PTE. LTD.,"4 JALAN MAT JAMBOL #B1-01/11, BIJOU S(119555)"
SSW21021K000,KARAIKUDI MINIMART,SRI SEVUGA PERUMAL PTE. LTD.,"48 TOH GUAN ROAD EAST #01-98, ENTERPRISE HUB S(608586)"
SSW21031E000,GGM MINIMART,GOWRI'S GLOBAL MARKETING PTE. LTD.,"1A TUAS AVENUE 2 #01-03, S(639467)"
SSW21037P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"533 CHOA CHU KANG STREET 51 #01-01, LIMBANG SHOPPING CENTRE S(680533)"
SW04097K000,PRIME SUPERMARKET,PRIME SUPERMARKET LIMITED,"159 BUKIT BATOK STREET 11 #01-178, S(650159)"
SW04158X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"108 DEPOT ROAD #01-01, DEPOT HEIGHTS SHOPPING CENTRE S(100108)"
SW05008N000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"638 JURONG WEST STREET 61 #03-01, PIONEER MALL S(640638)"
SW05051J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"720 CLEMENTI WEST STREET 2 #01-144, S(120720)"
SW06002X000,TOH GUAN MINIMART,TOH GUAN MINI MART PTE. LTD.,"19 TOH GUAN ROAD EAST #01-65, S(608568)"
SW06322N000,-,Oh Beng Guan,"395A BUKIT BATOK WEST AVENUE 5 #03-10, MULTI STOREY CAR PARK S(651395)"
SW06590A000,FAIRPRICE XTRA,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 HARBOURFRONT WALK #01-23,#B1-23, VIVOCITY S(098585)"
SW06806E000,LOTTE KOREAN MART,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)"
SW07070J000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"284 BUKIT BATOK EAST AVENUE 3 #01-251, S(650284)"
SW07209E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"7 JURONG WEST AVENUE 5, S(649486)"
SW07331C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"352 CLEMENTI AVENUE 2 #01-91&99, S(120352)"
SW07481A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"28 DOVER CRESCENT #01-83, MULTI STOREY CAR PARK S(130028)"
SW07E27X000,KINGSMART,KINGSMART PTE. LTD.,"30 30 PENJURU PLACE, 01-07, S(608557)"
SW08807K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"154 WEST COAST ROAD, WEST COAST PLAZA S(127371) #B1-19"
SW08821N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"140 TECK WHYE LANE #01-351, S(680140)"
SW08907C000,GOWRIS GLOBAL MARKETING,GOWRI'S GLOBAL MARKETING PTE. LTD.,"555 UPPER JURONG ROAD #01-02, S(638368)"
SW08A55C000,CHD @ SOON LEE,CHD @ SOON LEE PTE. LTD.,"51 SOON LEE ROAD #01-51A, S(628088)"
SW08A59X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"63 JURONG WEST CENTRAL 3, JURONG POINT SHOPPING CENTRE S(648331) #03-01"
SW09032C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"21 CHOA CHU KANG NORTH 6 #B1-01-07, YEW TEE POINT S(689578)"
SW09133X000,LOCH GROCER,LOCH GROCER PTE. LTD.,"503 JURONG WEST AVENUE 1 #01-847, S(640503)"
SW09285K000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"61 CHOA CHU KANG DRIVE #01-01, YEW TEE MRT STATION S(689715)"
SW09288C000,SADIA SUPERMARKET & TRADING,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,"14 TECH PARK CRESCENT #01-02, S(638118)"
SW09426V000,phang nee,PHANG NEE ENTERPRISE PTE. LTD.,"2D JALAN PAPAN #01-04, S(619415)"
SW09752V000,-,LAMIAH ENTERPRISE PTE. LTD.,"5 TECH PARK CRESCENT #01-02, S(638127)"
SW10780J000,SHARBESUWARY EXPRESS MART,SHARBESUWARY PTE. LTD.,"32 TUAS VIEW SQUARE #01-02, S(637778)"
SW10A16E000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"3155 COMMONWEALTH AVENUE WEST, THE CLEMENTI MALL S(129588) #B1-12/13/14"
SW11146X000,YS LOGISTICS (S),YS LOGISTICS (S) PTE. LTD.,"15 JALAN TEPONG #03-02, JURONG FOOD HUB S(619336) (PART OF - LEFT SUB-UNIT),"
SW11423N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"18 TECK WHYE LANE #01-95, S(680018)"
SW11452C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"78A TELOK BLANGAH STREET 32 #01-01, MULTI STOREY CAR PARK S(101078)"
SW11512N000,KOLEE SUPERMARKETS,KEK HONG HENG,"23 PENJURU WALK #03-81, CASSIA@PENJURU S(608537)"
SW11A26P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"460 ALEXANDRA ROAD, MTOWER S(119963) #01-09 & #01-16"
SW12C98J000,DON DON DONKI,PAN PACIFIC RETAIL MANAGEMENT (SINGAPORE) PTE. LTD.,"2 JURONG EAST CENTRAL 1 #B1-12, JCUBE S(609731)"
SW12F58E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"352 CLEMENTI AVENUE 2 #01-141, CLEMENTI AVENUE 2 SHOPPING CENTRE S(120352)"
SW12G70J000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"101 CLEMENTI ROAD #01-01, KENT VALE ESTATE, NUS S(129787)"
SW12G71E000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 COVE AVENUE, SENTOSA COVE ARRIVAL PLAZA S(098537) #02-07/08/09/10"
SW12H20A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"498 JURONG WEST STREET 41, #01-434/436/438 S(640498) #01-434/436/438"
SW12J94X000,J MART,TANESEI TRADING PTE. LTD.,"1 VISTA EXCHANGE GREEN #B1-28, THE STAR VISTA S(138617)"
SW12J97L000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 VISTA EXCHANGE GREEN, THE STAR VISTA S(138617) #B1-35/36 AND 02"
SW12L48X000,AJMAL TRADE MART,AJMAL TRADE MART PTE. LTD.,"12 KRANJI ROAD, KRANJI LODGE ONE S(739522) 1ST STOREY"
SW12M64L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"25 GHIM MOH LINK #01-11, S(270025)"
SW12M67E000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"420A CLEMENTI AVENUE 1 #01-01, S(121420)"
SW12N25V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"31 OCEAN WAY #01-26/27, QUAYSIDE ISLE, SENTOSA S(098375)"
SW12O05A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"502 WEST COAST DRIVE #01-41, S(120502)"
SW13245V000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 LOWER KENT RIDGE ROAD #02-16, ONE@KENTRIDGE S(119082)"
SW13Q24X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"280 BUKIT BATOK EAST AVENUE 3 #01-315, S(650280)"
SW13T12J000,FAIRPRICE XTRA,NTUC FAIRPRICE CO-OPERATIVE LTD,"50 JURONG GATEWAY ROAD #B1-21/22, JEM S(608549)"
SW13W88P000,HAO MART,HAO MART PTE. LTD.,"3 GATEWAY DRIVE #B2-01, WESTGATE S(608532)"
SW14017K000,SHAFEN SUPERMARKET & TRADING,SHAFEN SUPERMARKET & TRADING (S) PTE. LTD.,"18 TOH GUAN ROAD EAST #02-02, BLK 28, WESTLITE DORMITORY (TOH GUAN) S(608596)"
SW14484J000,SRI MURUGAN TRADING,SRI MURUGAN TRADING PTE. LTD.,"48 TOH GUAN ROAD EAST #01-130, ENTERPRISE HUB S(608586)"
SW14542A000,HILLVIEW MARKET PLACE,COLD STORAGE SINGAPORE (1983) PTE LTD,"4 HILLVIEW RISE #02-07, HILLV2 S(667979)"
SW14633X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"2 BUKIT BATOK WEST AVENUE 7 #01-10, HomeTeamNS BUKIT BATOK CLUBHOUSE S(659003)"
SW14718K000,AJMAL SUPERMART,AJMAL SUPER MART PTE. LTD.,"70 TUAS SOUTH AVENUE 1 #01-40, TUAS VIEW DORMITORY S(637285)"
SW14824J000,shinva agro foods,SHINVA AGRO FOODS PTE. LTD.,"11 TECH PARK CRESCENT #01-03, S(638121)"
SW14951X000,WAREHOUSE CLUB,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JOO KOON CIRCLE #03-21, FAIRPRICE HUB S(629117)"
SW14A33P000,VINAYAK TRADERS,VINAYAK TRADERS PTE. LTD.,"27 PENJURU WALK #01-08/09, PENJURU RECREATION CENTRE S(608538)"
SW14A98C000,Gurus Supermarket,GURU'S MARKETING PTE. LTD.,"27 PENJURU WALK #01-15, PENJURU RECREATION CENTRE S(608538)"
SW15051V000,archana,ARCHANA PROVISION STORES PTE. LTD.,"27 PENJURU WALK #01-06/07, PENJURU RECREATION CENTRE S(608538)"
SW15681P000,NSP SUPER MART,NPS IMPEX PTE. LTD.,"21 TUAS VIEW SQUARE, (PART OF) S(637640) (PART OF)"
SW15796X000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"533 CHOA CHU KANG STREET 51 #01-11, LIMBANG SHOPPING CENTRE (HDB) S(680533)"
SW15968N000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"37 TEBAN GARDENS ROAD, #01-304/305/306 S(600037) #01-304/305/306"
W74072X000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"8 TELOK BLANGAH CRESCENT #01-171, S(090008)"
SW15D03B000,PRIME SUPERMARKET,PRIME SUPERMARKET (1996) PTE LTD,"50 NANYANG AVENUE #NS3-01-27,#NS3-01-28,#NS3-01-26, NORTH SPINE , NTU S(639798)"
SW16126J000,TUAS SOUTH MINIMART,TUAS SOUTH MINIMART PTE. LTD.,"6 TUAS SOUTH STREET 15 #01-102,#01-109,#01-110,#01-111, CDPL (TUAS) DORMITORY S(636906)"
SW16224E000,NAWAS GLOBAL,NAWAS GLOBAL PTE. LTD.,"3 TUAS SOUTH STREET 12 #01-16, TUAS SOUTH DORMITORY S(636947)"
SW16735N000,-,GURU'S MARKETING PTE. LTD.,"1 JALAN PAPAN #01-32,#01-31, S(619392)"
SW16814X000,VINAYAK TRADERS,VINAYAK TRADERS PTE. LTD.,"1 JALAN PAPAN #01-33,#01-34, S(619392)"
SW16815P000,-,PHAN NEE INVESTMENTS (S) PTE. LTD.,"500 OLD CHOA CHU KANG ROAD #01-02, S(698928)"
SW16901A000,SADIA SUPERMARKET & TRADING,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,"12 TUAS SOUTH STREET 13 #01-20/21, S(636937)"
SW16921N000,CHENNAI TRADING & SUPERMARKET,CHENNAI TRADING & SUPERMART PTE. LTD.,"1 JALAN PAPAN #01-35,#01-36, S(619392)"
SW16942C000,POPULAR SUPERMARKET,POPULAR SUPERMARKET PTE. LTD.,"12 TUAS SOUTH STREET 13 #01-18/19, S(636937)"
SW16B52K000,AJMAL TRADING GROUP,AJMAL  TRADING GROUP PTE. LTD.,"5 JALAN PAPAN #01-32, ASPRI-WESTLITE PAPAN S(619396)"
SW16D52V000,U Stars Supermarket,U STARS PTE. LTD.,"810 CHOA CHU KANG AVENUE 7 #01-01, MULTI STOREY CAR PARK S(680810)"
SW16D83E000,FAIRPRICE SHOP,NTUC FAIRPRICE CO-OPERATIVE LTD,"249 JURONG EAST STREET 24 #01-106, S(600249)"
SW16E98J000,PHANNEE SUPERMART,PHAN NEE INVESTMENTS (S) PTE. LTD.,"500 OLD CHOA CHU KANG ROAD #01-21, S(698924)"
SW16H70N000,MALAR MARKETING,MALAR MARKETING PTE. LTD.,"69 TUAS SOUTH AVENUE 1 #01-02, SEATOWN INDUSTRIAL CENTRE S(637589)"
SW17592A000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"50 JURONG GATEWAY ROAD #B1-43,#B1-44, JEM S(608549)"
SW17728C000,U STARS MEGAMART,U STARS PTE. LTD.,"817 KEAT HONG LINK #01-14, MULTI STOREY CAR PARK S(680817)"
SW17E56V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 FUSIONOPOLIS WAY #B2-03, CONNEXIS S(138632)"
SW18581V000,THE QUALITYMART DEPOT,THE QUALITYMART DEPOT PTE. LTD.,"180 DEPOT ROAD #01-04, INTERLACE, THE S(109684)"
SW18715E000,SEOUL BUTCHERY,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)"
SW18A30L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"440 BUKIT BATOK WEST AVENUE 8 #01-10, MULTI STOREY CAR PARK S(650440)"
SW18A40J000,GIANT EXPRESS,COLD STORAGE SINGAPORE (1983) PTE LTD,"35 STUDENTS WALK, NTU CANTEEN 2 S(639548)"
SW18B79P000,-,MURUGAN TRADERS PTE. LTD.,"9 TRACTOR ROAD, S(627970)"
SW18F69X000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"451 BUKIT BATOK WEST AVENUE 6 #01-10, MULTI STOREY CAR PARK S(650451)"
SW19707V000,BALU SUPERMARKET,BALU SUPER MARKET PTE. LTD.,"14 TUAS AVENUE 1 #01-01, JTC SPACE @ TUAS S(639499)"
SW19869J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"292 BUKIT BATOK EAST AVENUE 6 #01-02, MULTI STOREY CAR PARK S(650292)"
SW19934B000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"1 HARBOURFRONT WALK #B2-23A, VIVO CITY S(098585)"
SW19A15B000,NIHI MINI MART,NIHI PTE. LTD.,"8 TECH PARK CRESCENT #01-00, S(638124)"
SW19G50C000,LAMIAH MINIMART,LAMIAH ENTERPRISE PTE. LTD.,"40 TUAS VIEW SQUARE #01-03, LANDBASE INDUSTRIAL BUILDING S(637779)"
W02065N000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"101 THOMSON ROAD #B1-52, UNITED SQUARE S(307591)"
W02066L000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"211 HOLLAND AVENUE #01-05, HOLLAND ROAD SHOPPING CENTRE S(278967)"
W02068J000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 KIM SENG PROMENADE #B1-139,#B1-140,#B1-141, GREAT WORLD CITY S(237994)"
W02070V000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"290 ORCHARD ROAD #B1-14/15, THE PARAGON S(238859)"
W02071X000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"391A ORCHARD ROAD #B2-01, NGEE ANN CITY TOWER A S(238873)"
W02072P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"302 TIONG BAHRU ROAD #B1-01, TIONG BAHRU PLAZA S(168732)"
